Alapanyag neve,Elsődleges kategória,Másodlagos kategória,Foszfor,Magnézium,Nátrium,Kalcium,B6 vitamin,Kolin,Niacin - B3 vitamin,C vitamin,fehérje,telített zsírsav,többszörösen telített zsírsav,Vas,Cink,Réz,Mangán,Szelén,rost,cukor,víz,Tiamin - B1 vitamin,Riboflavin - B2 vitamin,Pantoténsav - B5 vitamin,Folát,E vitamin,D vitamin,B12 vitamin,egyszeresen telített zsírsav,Béta-karotin,Lutein+zeaxantin,K vitamin,A vitamin,Likopin,Alfa-karotin,Béta-kriptoxantin,koleszterin,Retinol,Folsav
paradicsom,zöldségek,egyéb zöldség,0.024,0.011,0.005,0.01,0.08,0.0067,0.000594,0.013699999999999999,0.88,0.028,0.083,0.00027,0.00017,5.9e-05,0.000114,,1.2,2.63,94.52,3.7e-05,1.9e-05,8.9e-05,1.5e-05,0.00054,,,0.031,0.000449,0.000123,7.9e-06,4.2e-05,0.002573,0.000101,,,,
petrezselyem,ízesítők,friss fűszernövény,0.058,0.05,0.056,0.138,0.09,0.0128,0.001313,0.133,2.97,0.132,0.124,0.0062,0.00107,0.000149,0.00016,1.0000000000000001e-07,3.3,0.85,87.71,8.599999999999999e-05,9.800000000000001e-05,0.0004,0.000152,0.00075,,,0.295,0.005054,0.005561,0.00164,0.000421,,,,,,
sütőtök,zöldségek,"tök, spárga",0.033,0.034,0.004,0.048,0.154,,0.0012,0.021,1.0,0.021,0.042,0.0007,0.00015,7.199999999999999e-05,0.000202,5e-07,2.0,2.2,86.41,0.0001,2e-05,0.0004,2.7e-05,0.0014399999999999999,,,0.007,0.004226,,1.1e-06,0.000532,,0.000834,0.003471,,,
alma,gyümölcsök,almatermésűek,0.011,0.005,0.001,0.006,0.041,0.0034,9.1e-05,0.0046,0.26,0.028,0.051,0.00011999999999999999,4e-05,2.7e-05,3.5000000000000004e-05,,2.4,10.39,85.56,1.7e-05,2.6e-05,6.1e-05,3e-06,0.00017999999999999998,,,0.007,2.7e-05,2.9e-05,2.2e-06,3e-06,,,1.1e-05,,,
menta,ízesítők,friss fűszernövény,0.073,0.08,0.031,0.243,0.129,,0.001706,0.0318,3.75,0.246,0.508,0.00508,0.00111,0.00032900000000000003,0.001176,,8.0,,78.65,8.2e-05,0.000266,0.00033800000000000003,0.000114,,,,0.033,,,,0.000212,,,,,,
őszibarack,gyümölcsök,csonthéjas gyümölcs,0.02,0.009,,0.006,0.025,0.0060999999999999995,0.0008060000000000001,0.0066,0.91,0.019,0.086,0.00025,0.00017,6.8e-05,6.1e-05,1.0000000000000001e-07,1.5,8.39,88.87,2.4e-05,3.1e-05,0.000153,4e-06,0.00073,,,0.067,0.000162,9.1e-05,2.6e-06,1.6e-05,,,6.7e-05,,,
halványító zeller,zöldségek,levélzöldség,0.024,0.011,0.08,0.04,0.074,0.0060999999999999995,0.00032,0.0031,0.69,0.042,0.079,0.0002,0.00013000000000000002,3.5000000000000004e-05,0.000103,4.0000000000000003e-07,1.6,1.34,95.43,2.1000000000000002e-05,5.7e-05,0.000246,3.6e-05,0.00027,,,0.032,0.00027,0.000283,2.93e-05,2.2e-05,,,,,,
körte,gyümölcsök,almatermésűek,0.012,0.007,0.001,0.009,0.029,0.0050999999999999995,0.000161,0.0043,0.36,0.022,0.094,0.00017999999999999998,0.0001,8.2e-05,4.8e-05,1.0000000000000001e-07,3.1,9.75,83.96,1.2e-05,2.6e-05,4.9000000000000005e-05,7e-06,0.00011999999999999999,,,0.084,1.4e-05,4.4e-05,4.4e-06,1e-06,,1e-06,2e-06,,,
bazsalikom,ízesítők,friss fűszernövény,0.056,0.064,0.004,0.177,0.155,0.0114,0.000902,0.018,3.15,0.041,0.389,0.00317,0.0008100000000000001,0.00038500000000000003,0.001148,3e-07,1.6,0.3,92.06,3.4e-05,7.6e-05,0.00020899999999999998,6.8e-05,0.0008,,,0.088,0.003142,0.00565,0.0004148,0.000264,,,4.6e-05,,,
zsálya,ízesítők,friss fűszernövény,0.091,0.428,0.011,1.652,2.69,0.0436,0.005719999999999999,0.0324,10.63,7.03,1.76,0.028120000000000003,0.0047,0.000757,0.003133,3.7e-06,40.3,1.71,7.96,0.000754,0.00033600000000000004,,0.000274,0.0074800000000000005,,,1.87,0.003485,0.001895,0.0017145,0.000295,,,0.000109,,,
